A.5 Taxa de fecundidade total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº médio anual de filhos por mulher por ano segundo Região e UF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil, 1991-2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Região e UF;1991;Obs;1992;Obs;1993;Obs;1994;Obs;1995;Obs;1996;Obs;1997;Obs;1998;Obs;1999;Obs;2000;Obs;2001;Obs;2002;Obs;2003;Obs;2004;Obs;2005;Obs;2006;Obs;2007;Obs;2008;Obs;2009;Obs;2010;Obs
Piauí;3,37;*;3,22;*;3,09;*;2,96;*;2,85;*;2,75;*;2,66;*;2,58;*;2,51;*;2,65;*;2,57;*;2,5;*;2,43;*;2,37;*;2,31;*;2,26;*;2,22;*;1,92;****;2;****;1,91;****
Ceará;3,57;*;3,47;*;3,38;*;3,3;*;3,23;*;3,17;*;3,12;*;3,07;*;3,03;*;2,81;*;2,67;*;2,55;*;2,43;*;2,32;*;2,22;*;2,14;*;2,07;*;1,88;****;1,9;****;1,84;****
Rio Grande do Norte;3,11;*;3,01;*;2,92;*;2,83;*;2,76;*;2,69;*;2,63;**;2,58;**;2,53;**;2,54;*;2,42;*;2,32;*;2,23;*;2,16;*;2,1;*;2,05;*;2,02;*;1,9;****;1,9;****;1,82;****
Paraíba;3,38;*;3,23;*;3,09;*;2,97;*;2,86;*;2,76;*;2,68;*;2,6;*;2,53;*;2,53;*;2,39;*;2,28;*;2,18;*;2,1;*;2,04;*;1,99;*;1,95;*;1,95;****;2;****;1,91;****
Pernambuco;2,8;*;2,7;*;2,61;*;2,53;*;2,46;*;2,39;*;2,34;**;2,29;**;2,25;**;2,49;*;2,15;**;2,03;**;1,96;**;1,92;**;1,94;**;1,86;**;1,82;**;1,92;****;1,95;****;1,88;****
Alagoas;3,78;*;3,66;*;3,54;*;3,44;*;3,34;*;3,25;*;3,17;*;3,1;*;3,03;*;3,16;*;3,09;*;3,02;*;2,95;*;2,89;*;2,83;*;2,77;*;2,72;*;2,17;****;2,19;****;2,09;****
Sergipe;3,41;*;3,28;*;3,17;*;3,07;*;2,99;*;2,91;*;2,85;**;2,8;**;2,75;**;2,75;*;2,68;*;2,6;*;2,54;*;2,48;*;2,42;*;2,37;*;2,32;*;2,11;****;2,06;****;1,92;****
Bahia;3,33;*;3,16;*;3;*;2,85;*;2,73;*;2,62;*;2,52;*;2,43;*;2,36;*;2,5;*;2,43;*;2,36;*;2,31;*;2,26;*;2,21;*;2,17;*;2,14;*;1,8;****;1,85;****;1,84;****
Região Sudeste;2,28;*;2,25;*;2,22;*;2,19;*;2,17;*;2,15;*;2,13;***;2,11;***;2,1;***;2,11;***;1,96;***;1,91;***;1,86;***;1,85;***;1,83;***;1,78;***;1,75;***;1,67;***;1,67;***;1,67;***
Minas Gerais;2,53;*;2,47;*;2,41;*;2,36;*;2,31;*;2,27;*;2,24;*;2,21;*;2,18;*;2,22;*;2,16;*;2,11;*;2,06;*;2,01;*;1,96;*;1,92;*;1,87;*;1,63;****;1,62;****;1,6;****
Espírito Santo;2,57;*;2,48;*;2,41;*;2,34;*;2,29;*;2,24;*;2,2;**;2,17;**;2,14;**;2,05;**;1,97;**;1,87;**;1,8;**;1,77;**;1,73;**;1,69;**;1,67;**;1,69;**;1,72;**;1,71;**
Rio de Janeiro;2,09;*;2,06;*;2,03;*;2,01;*;1,99;*;1,97;*;1,95;**;1,94;**;1,93;**;2,07;**;1,92;**;1,83;**;1,82;**;1,8;**;1,75;**;1,71;**;1,7;**;1,65;**;1,66;**;1,65;**
São Paulo;2,22;*;2,2;*;2,19;*;2,17;*;2,16;*;2,15;*;2,14;**;2,13;**;2,13;**;2,07;**;1,89;**;1,84;**;1,79;**;1,8;**;1,8;**;1,75;**;1,72;**;1,69;**;1,7;**;1,7;**
Região Sul;2,45;*;2,4;*;2,36;*;2,32;*;2,28;*;2,25;*;2,21;**;2,19;**;2,16;**;2,09;**;1,91;**;1,85;**;1,77;**;1,8;**;1,76;**;1,69;**;1,62;**;1,62;**;1,65;**;1,66;**
Paraná;2,54;*;2,48;*;2,43;*;2,38;*;2,34;*;2,3;*;2,26;**;2,23;**;2,2;**;2,09;**;1,93;**;1,9;**;1,8;**;1,82;**;1,82;**;1,73;**;1,66;**;1,67;**;1,71;**;1,74;**
Santa Catarina;2,53;*;2,47;*;2,41;*;2,36;*;2,31;*;2,27;*;2,23;**;2,19;**;2,16;**;2,04;**;1,87;**;1,8;**;1,73;**;1,76;**;1,73;**;1,71;**;1,65;**;1,65;**;1,64;**;1,61;**
Rio Grande do Sul;2,32;*;2,29;*;2,25;*;2,23;*;2,2;*;2,18;*;2,16;**;2,14;**;2,12;**;2,11;**;1,91;**;1,84;**;1,76;**;1,79;**;1,72;**;1,65;**;1,55;**;1,55;**;1,59;**;1,61;**
Região Centro-Oeste;2,6;*;2,51;*;2,44;*;2,38;*;2,33;*;2,27;*;2,23;***;2,19;***;2,15;***;2,26;***;2,19;***;2,14;***;2,09;***;2,05;***;2,01;***;1,95;***;1,84;***;1,85;***;1,83;***;1,82;***
Mato Grosso do Sul;2,76;*;2,68;*;2,61;*;2,55;*;2,49;*;2,44;*;2,4;**;2,36;**;2,33;**;2,1;**;2,07;**;2,05;**;2;**;2,1;**;2,08;**;1,98;**;1,92;**;1,99;**;1,99;**;1,96;**
Mato Grosso;3;*;2,91;*;2,83;*;2,76;*;2,69;*;2,62;*;2,57;*;2,51;*;2,46;*;2,46;*;2,39;*;2,32;*;2,26;*;2,19;*;2,13;*;2,08;*;1,82;**;1,96;****;1,94;****;1,92;****
Goiás;2,47;*;2,38;*;2,3;*;2,24;*;2,18;*;2,12;*;2,08;**;2,04;**;2;**;2,24;*;2,19;*;2,14;*;2,08;*;2,02;*;1,96;*;1,9;*;1,84;*;1,76;****;1,76;****;1,75;****
Distrito Federal;2,29;*;2,22;*;2,18;*;2,14;*;2,12;*;2,09;*;2,06;**;2,04;**;2,02;**;2,19;**;2,1;**;2,01;**;1,99;**;1,94;**;1,93;**;1,87;**;1,81;**;1,76;**;1,72;**;1,74;**
Total;2,73;*;2,66;*;2,6;*;2,54;*;2,49;*;2,44;*;2,4;***;2,36;***;2,33;***;2,36;***;2,22;***;2,15;***;2,08;***;2,05;***;2,01;***;1,95;***;1,9;***;1,84;***;1,84;***;1,82;***
Fontes:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estimativas: IBGE/Contagem populacional e projeções demográficas preliminares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dados Diretos: MS/SVS - Sistema de Informações sobre Nascidos Vivos ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Legenda:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*  Taxas estimadas pelo IBGE (dados indiretos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
** Taxas calculadas a partir dos dados diretos do Sinasc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*** Combinação dos dados diretos e indiretos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
****: Estimadas com os dados informados ao SINASC corrigidos por fatores obtidos no processo de busca ativa realizado na Amazônia Legal e no Nordeste, no ano de 2008. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Para toda a série histórica, os denominadores dos dados diretos derivam das projeções demográficas. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
